MAG_AUTO_I,RA,DEC
24.90379715,25.40464700,-32.79960200
23.24132538,25.40491500,-32.85290000
23.49104881,25.40512500,-32.80288200
23.08323860,25.40514900,-32.85379100
21.26740074,25.40539400,-32.82330900
23.34202576,25.40564100,-32.79350900
23.45731354,25.40578400,-32.81078800
24.10058784,25.40606200,-32.78697100
22.84743690,25.40651700,-32.85237700
16.08574867,25.40657300,-32.83623700
21.15552711,25.40664700,-32.79754200
21.42357445,25.40671300,-32.84554300
22.85439873,25.40674900,-32.79098600
24.59213448,25.40726500,-32.81992000
25.04300880,25.40799600,-32.78668800
22.18093681,25.40801200,-32.83193800
22.70914841,25.40867300,-32.83810000
21.42213440,25.40867900,-32.85179800
23.45759964,25.40873700,-32.79389000
23.29819107,25.40879300,-32.82128100
23.79283905,25.40885700,-32.78897200
27.58705521,25.40891000,-32.80570100
24.57173538,25.40905700,-32.83332500
23.39049721,25.41001900,-32.79162100
21.87053680,25.41013500,-32.81427800
23.41865158,25.41051900,-32.83615600
24.26822472,25.41058000,-32.81016600
24.64857292,25.41096900,-32.79644600
23.63112259,25.41131800,-32.83171300
22.30733871,25.41234900,-32.85331800
24.00815010,25.41260800,-32.82417700
19.58074951,25.41278200,-32.80267700
23.87604713,25.41398600,-32.81542500
22.50093842,25.41422900,-32.85431900
17.28926849,25.41427400,-32.79530900
23.40009880,25.41433700,-32.79945000
22.54193306,25.41465500,-32.85055900
24.13640404,25.41469900,-32.85634400
20.42826271,25.41475700,-32.81931000
20.24588585,25.41571500,-32.81532200
22.32879448,25.41598200,-32.82097700
21.01802826,25.41634100,-32.85744600
21.77484131,25.41643600,-32.85049500
21.20040703,25.41733500,-32.83667900
22.91930199,25.41734100,-32.81566900
15.82338905,25.41756300,-32.80379900
21.89060783,25.41756900,-32.83869200
24.13384819,25.41773800,-32.82316000
22.22487831,25.41818800,-32.84581800
24.22187996,25.41847200,-32.81042700
21.82415962,25.41852000,-32.81974800
21.96222687,25.41869400,-32.82927900
21.34901619,25.41898300,-32.84805600
22.50856590,25.41963300,-32.82044700
19.66945457,25.41972900,-32.81892500
22.13844109,25.41975500,-32.83833000
23.04653740,25.41980500,-32.83876800
23.53630638,25.41998900,-32.80148100
23.57799721,25.42011400,-32.85531800
24.70592690,25.42020200,-32.80959100
23.31265640,25.42046000,-32.84319300
24.09828377,25.42169500,-32.79891800
22.84145546,25.42182300,-32.84469500
22.52733421,25.42212100,-32.81622200
19.32442665,25.42231600,-32.80211600
24.15587807,25.42270100,-32.79761900
23.04588127,25.42280400,-32.79898500
18.01025581,25.42307400,-32.84767100
22.70483971,25.42336400,-32.78976000
22.74656677,25.42352300,-32.81247200
23.56508446,25.42420600,-32.79784200
18.90314865,25.42461700,-32.82538800
24.07137299,25.42475700,-32.80014800
23.62679863,25.42543600,-32.80916200
